"Código","Título","Universidad","Nivel académico","Rama","Ámbito","Estado","Detalle"
"3024000","Licenciado en Derecho","Varias Universidades","Segundo Ciclo de Ciclo Largo","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3024000","Licenciado en Derecho","Varias Universidades","Ciclo Largo","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3038000","Licenciado en Economía","Varias Universidades","Ciclo Largo","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3038000","Licenciado en Economía","Varias Universidades","Segundo Ciclo de Ciclo Largo","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3002000","Licenciado en Farmacia","Varias Universidades","Ciclo Largo","Ciencias de la Salud","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3048000","Licenciado en Filología Clásica","Varias Universidades","Segundo Ciclo de Ciclo Largo","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3048000","Licenciado en Filología Clásica","Varias Universidades","Ciclo Largo","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3050000","Licenciado en Filología Francesa","Varias Universidades","Segundo Ciclo de Ciclo Largo","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3050000","Licenciado en Filología Francesa","Varias Universidades","Ciclo Largo","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3053000","Licenciado en Filología Hispánica","Varias Universidades","Segundo Ciclo de Ciclo Largo","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3053000","Licenciado en Filología Hispánica","Varias Universidades","Ciclo Largo","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3054000","Licenciado en Filología Inglesa","Varias Universidades","Ciclo Largo","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3054000","Licenciado en Filología Inglesa","Varias Universidades","Segundo Ciclo de Ciclo Largo","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3044000","Licenciado en Filosofía","Varias Universidades","Ciclo Largo","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3032000","Licenciado en Física","Varias Universidades","Ciclo Largo","Ciencias","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3060000","Licenciado en Geografía","Varias Universidades","Ciclo Largo","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"3061000","Licenciado en Historia","Varias Universidades","Segundo Ciclo de Ciclo Largo","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
